miRNA,Gene,ΔG open,Probability exact,Conservation PhyloP,miRmap score
hsa-miR-4317,BDNF,57.4153,6.71971761237596,1.52047726307004,29.2597
hsa-miR-367-3p,BDNF,65.5087,16.4341499056586,29.9260941643387,29.2924
hsa-miR-5681b,BDNF,57.8078,14.3827487407848,67.5115454485906,29.4188
hsa-miR-628-5p,BDNF,79.2642,12.8550698619088,78.6220600144107,29.5415
hsa-miR-4699-5p,BDNF,86.9781,18.0981634054426,81.5621735910917,29.5454
hsa-miR-4720-5p,BDNF,72.664,10.4734001496637,74.321171204225,29.7092
hsa-miR-2355-5p,BDNF,60.3851,8.12355449907347,73.2270560914326,29.7416
hsa-miR-4296,BDNF,59.9063,11.8444603439973,68.8519083316126,30.1372
hsa-miR-34b-3p,BDNF,73.5063,28.1430423802942,86.7843616979243,30.2181
hsa-miR-2682-5p,BDNF,20.9508,21.0361771967471,26.5726272086524,30.3096
hsa-miR-493-3p,BDNF,45.0762,17.7994633358773,5.21779059081218,30.5552
hsa-miR-301a-5p,BDNF,18.3304,64.1873742508102,6.43214823120748,30.8014
hsa-miR-6504-3p,BDNF,82.064,3.54468465367691,71.0191354956073,30.8546
hsa-miR-4676-3p,BDNF,79.4607,27.2594890150836,93.6771201967147,31.4784
hsa-miR-550b-3p,BDNF,88.3528,57.7067669464096,81.8796217401115,31.6379
hsa-miR-6126,BDNF,13.2962,10.2527151136953,4.97639977857522,32.0326
hsa-miR-622,BDNF,24.0999,13.3281788008842,32.7240957755361,32.0691
hsa-miR-4662a-5p,BDNF,37.3753,17.8012136979931,0.0000131269134937713,32.1742
hsa-miR-219-5p,BDNF,66.6505,10.9111765577874,85.4323289888063,32.4634
hsa-miR-1272,BDNF,54.9404,11.1936044556475,8.32672940193651,32.5685
hsa-miR-1178-5p,BDNF,25.9732,21.0349302573636,54.1947642780454,32.8317
hsa-miR-374a-5p,BDNF,93.1552,8.09891776504471,89.5697483452541,32.9668
hsa-miR-938,BDNF,68.6949,16.1718201922703,45.2594186588836,33.3582
hsa-miR-3614-5p,BDNF,54.4788,5.17311778372557,32.7240957755361,33.4357
hsa-miR-1285-5p,BDNF,58.0082,28.6246940157907,16.5107692541957,33.4876
hsa-miR-6509-5p,BDNF,68.026,11.2234225713377,58.3846519077278,33.7998
hsa-miR-5001-3p,BDNF,53.2134,18.3642107020857,89.5697483452541,33.9085
hsa-miR-411-3p,BDNF,92.6859,30.7456604573216,89.5697483452541,34.1888
hsa-miR-374b-5p,BDNF,93.1552,8.09891776504471,89.5697483452541,34.4871
hsa-miR-216b,BDNF,27.7953,5.98125842361768,14.6326361060744,34.9475
hsa-miR-1279,BDNF,90.4021,4.46501885821556,4.49322434669649,35.2494
hsa-miR-195-3p,BDNF,92.1167,4.23560524656329,89.1856942371668,35.5395
hsa-miR-93-3p,BDNF,23.9965,19.2288353725568,69.888973878361,35.5983
hsa-miR-647,BDNF,55.9828,14.4251369348557,64.5368424548536,35.7717
hsa-miR-4728-3p,BDNF,63.8254,13.0118821705791,16.1267151461085,37.1093
hsa-miR-670,BDNF,60.613,14.4458547165366,15.2231109288512,37.2074
hsa-miR-513a-5p,BDNF,54.9805,7.97667123567975,30.2335527321898,37.2103
hsa-miR-3945,BDNF,36.3808,62.6684936523041,42.2534867379449,37.2667
hsa-miR-378j,BDNF,47.8627,14.0083416372268,16.3408019782784,37.3313
hsa-miR-378b,BDNF,17.8348,22.3766989936347,79.8676072012672,37.3979
hsa-miR-597,BDNF,50.7555,12.916107931975,21.4803561646677,37.9335
hsa-miR-211-3p,BDNF,20.479,64.5925753356629,5.82995107468072,38.6049
hsa-miR-193a-3p,BDNF,72.6965,18.5631401310479,74.321171204225,38.686
hsa-miR-4279,BDNF,39.498,47.8926027373495,73.2270560914326,39.1493
hsa-miR-22-5p,BDNF,92.8382,4.7682884571983,45.3479990711396,39.2754
hsa-miR-27a-3p,BDNF,54.4654,7.97667123567975,30.2335527321898,39.3404
hsa-miR-27b-3p,BDNF,54.4654,7.97667123567975,30.2335527321898,39.4546
hsa-miR-3651,BDNF,21.5723,30.2553731857226,10.5086587090442,39.7228
hsa-miR-1915-5p,BDNF,68.3509,13.715295392195,31.4149224389753,40.2638
hsa-miR-4438,BDNF,26.5879,18.5202407692795,89.5697483452541,40.2811
hsa-miR-378f,BDNF,17.5141,22.3766989936347,79.8676072012672,40.3611
hsa-miR-4450,BDNF,52.3327,21.180775695432,39.9686161752191,40.4319
hsa-miR-506-3p,BDNF,28.592,48.3834708813321,75.3187903759246,40.8265
hsa-miR-378a-3p,BDNF,16.0511,22.3766989936347,79.8676072012672,40.9891
hsa-miR-1208,BDNF,69.5928,43.017426016608,68.5518139622315,41.2047
hsa-miR-432-3p,BDNF,45.481,12.1717548247647,31.9520626122269,41.2718
hsa-miR-1197,BDNF,79.889,12.0435059474362,81.8796217401115,41.6425
hsa-miR-34c-3p,BDNF,70.3478,47.1531367031263,63.4233520177444,41.8219
hsa-miR-4758-5p,BDNF,43.0527,18.9531998091021,31.5236132827037,42.0748
hsa-miR-182-5p,BDNF,69.1302,20.000272622772,93.6771201967147,42.9857
hsa-miR-1254,BDNF,62.1936,28.3582207460663,7.28856119445461,43.1181
hsa-miR-3183,BDNF,15.2377,20.7571183587118,59.9068225426385,43.287
hsa-miR-3663-3p,BDNF,50.6449,33.0959708058187,81.2374793858232,43.5402
hsa-miR-3153,BDNF,59.4753,51.6437371811146,90.493042932752,43.587
hsa-miR-378c,BDNF,15.8713,22.3766989936347,79.8676072012672,43.6172
hsa-miR-378i,BDNF,16.0511,22.3766989936347,79.8676072012672,43.762
hsa-miR-4445-5p,BDNF,66.8879,10.9111765577874,85.4323289888063,44.0585
hsa-miR-126-5p,BDNF,94.6712,14.3402985869931,89.5697483452541,44.7243
hsa-miR-29a-3p,BDNF,57.3621,19.8112180243307,89.5697483452541,44.8081
hsa-miR-30b-5p,BDNF,91.106,12.0162359252685,89.5697483452541,45.165
hsa-miR-5186,BDNF,91.1479,18.621390013673,62.8295298320267,45.2677
hsa-miR-29c-3p,BDNF,57.3621,19.8112180243307,89.5697483452541,45.4218
hsa-miR-4322,BDNF,55.2335,11.8444603439973,68.8519083316126,45.7339
hsa-miR-29b-3p,BDNF,57.2962,19.8112180243307,89.5697483452541,45.7382
hsa-miR-614,BDNF,32.0689,64.1630085905604,8.0664620880955,45.8114
hsa-miR-326,BDNF,9.63237,16.4743462746021,74.1577673850545,46.2163
hsa-miR-4685-3p,BDNF,59.9127,16.611354707475,20.7798646798996,46.8606
hsa-miR-4314,BDNF,61.8124,12.2545717367325,86.2089171910978,46.949
hsa-miR-4536-5p,BDNF,58.1428,25.2392458448649,63.4233520177444,47.3629
hsa-miR-4476,BDNF,45.6228,16.0965778561844,35.4306290535088,47.4782
hsa-miR-103b,BDNF,21.7558,69.369724032952,12.6711733110946,47.485
hsa-miR-892b,BDNF,72.6965,18.5631401310479,74.321171204225,47.5225
hsa-miR-5095,BDNF,38.2209,18.1613623207757,2.24493849187779,47.55
hsa-miR-4645-5p,BDNF,44.9899,23.8042664534426,66.4795468904508,47.6527
hsa-miR-3675-3p,BDNF,55.059,53.5970793426755,5.82995107468072,47.7018
hsa-miR-508-3p,BDNF,66.9954,56.7715624088514,90.493042932752,47.9065
hsa-miR-489,BDNF,62.5115,34.1376066539783,88.3311584225493,48.0709
hsa-miR-3184-3p,BDNF,63.3959,92.7256422008898,75.3568059174026,48.4073
hsa-miR-19b-2-5p,BDNF,95.4331,16.1631690662376,89.5697483452541,48.9657
hsa-miR-218-1-3p,BDNF,96.8448,6.84565074513535,89.5697483452541,49.1711
